CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,EVENTS
32.5408,38.1525,2020,13
32.5408,38.1525,2021,9
32.5408,38.1525,2022,5
32.5408,38.1525,2023,14
32.5408,38.1525,2024,7
32.5408,38.1525,2025,4
32.5765,44.6371,2020,107
32.5765,44.6371,2021,116
32.5765,44.6371,2022,75
32.5765,44.6371,2023,36
32.5765,44.6371,2024,91
32.5765,44.6371,2025,74
32.6094,52.0477,2020,87
32.6094,52.0477,2021,272
32.6094,52.0477,2022,272
32.6094,52.0477,2023,204
32.6094,52.0477,2024,230
32.6094,52.0477,2025,230
32.6278,34.9819,2020,182
32.6278,34.9819,2021,210
32.6278,34.9819,2022,123
32.6278,34.9819,2023,413
32.6278,34.9819,2024,570
32.6278,34.9819,2025,220
32.7059,45.704,2020,211
32.7059,45.704,2021,126
32.7059,45.704,2022,97
32.7059,45.704,2023,46
32.7059,45.704,2024,44
32.7059,45.704,2025,59
32.7624,36.8919,2020,130
32.7624,36.8919,2021,82
32.7624,36.8919,2022,121
32.7624,36.8919,2023,684
32.7624,36.8919,2024,513
32.7624,36.8919,2025,514
32.8019,58.24,2020,5
32.8019,58.24,2021,13
32.8019,58.24,2022,9
32.8019,58.24,2023,26
32.8019,58.24,2024,25
32.8019,58.24,2025,28
32.831,36.1112,2020,888
32.831,36.1112,2021,900
32.831,36.1112,2022,785
32.831,36.1112,2023,893
32.831,36.1112,2024,872
32.831,36.1112,2025,645
32.839,35.3807,2020,251
32.839,35.3807,2021,281
32.839,35.3807,2022,141
32.839,35.3807,2023,1115
32.839,35.3807,2024,3467
32.839,35.3807,2025,333
33.0113,35.7989,2020,57
33.0113,35.7989,2021,65
33.0113,35.7989,2022,37
33.0113,35.7989,2023,158
33.0113,35.7989,2024,914
33.0113,35.7989,2025,547
33.0433,46.8724,2020,29
33.0433,46.8724,2021,67
33.0433,46.8724,2022,88
33.0433,46.8724,2023,107
33.0433,46.8724,2024,86
33.0433,46.8724,2025,72
33.1774,41.3987,2020,255
33.1774,41.3987,2021,414
33.1774,41.3987,2022,229
33.1774,41.3987,2023,289
33.1774,41.3987,2024,441
33.1774,41.3987,2025,380
33.278,44.3783,2020,643
33.278,44.3783,2021,629
33.278,44.3783,2022,652
33.278,44.3783,2023,560
33.278,44.3783,2024,601
33.278,44.3783,2025,344
33.2832,35.4971,2020,162
33.2832,35.4971,2021,182
33.2832,35.4971,2022,95
33.2832,35.4971,2023,1495
33.2832,35.4971,2024,8020
33.2832,35.4971,2025,1651
33.3416,35.3035,2020,335
33.3416,35.3035,2021,482
33.3416,35.3035,2022,197
33.3416,35.3035,2023,974
33.3416,35.3035,2024,4659
33.3416,35.3035,2025,573
33.4538,37.4305,2020,214
33.4538,37.4305,2021,162
33.4538,37.4305,2022,259
33.4538,37.4305,2023,322
33.4538,37.4305,2024,374
33.4538,37.4305,2025,405
33.5153,36.2738,2020,44
33.5153,36.2738,2021,26
33.5153,36.2738,2022,33
33.5153,36.2738,2023,65
33.5153,36.2738,2024,100
33.5153,36.2738,2025,237
33.5164,48.3219,2020,39
33.5164,48.3219,2021,126
33.5164,48.3219,2022,124
33.5164,48.3219,2023,93
33.5164,48.3219,2024,85
33.5164,48.3219,2025,78
33.6407,35.8097,2020,334
33.6407,35.8097,2021,330
33.6407,35.8097,2022,85
33.6407,35.8097,2023,57
33.6407,35.8097,2024,308
33.6407,35.8097,2025,103
33.8438,28.4103,2021,2
33.8438,28.4103,2022,1
33.8438,28.4103,2024,15
33.8438,28.4103,2025,6
33.8513,35.6478,2020,483
33.8513,35.6478,2021,623
33.8513,35.6478,2022,199
33.8513,35.6478,2023,208
33.8513,35.6478,2024,476
33.8513,35.6478,2025,113
33.8886,35.5016,2020,669
33.8886,35.5016,2021,534
33.8886,35.5016,2022,296
33.8886,35.5016,2023,282
33.8886,35.5016,2024,162
33.8886,35.5016,2025,100
34.0711,44.8903,2020,606
34.0711,44.8903,2021,692
34.0711,44.8903,2022,397
34.0711,44.8903,2023,175
34.0711,44.8903,2024,205
34.0711,44.8903,2025,116
34.1673,36.2993,2020,161
34.1673,36.2993,2021,179
34.1673,36.2993,2022,98
34.1673,36.2993,2023,94
34.1673,36.2993,2024,784
34.1673,36.2993,2025,316
34.3195,35.9369,2020,576
34.3195,35.9369,2021,650
34.3195,35.9369,2022,251
34.3195,35.9369,2023,204
34.3195,35.9369,2024,75
34.3195,35.9369,2025,121
34.4708,38.2063,2020,133
34.4708,38.2063,2021,220
34.4708,38.2063,2022,252
34.4708,38.2063,2023,300
34.4708,38.2063,2024,676
34.4708,38.2063,2025,716
34.4772,49.5818,2020,51
34.4772,49.5818,2021,86
34.4772,49.5818,2022,95
34.4772,49.5818,2023,106
34.4772,49.5818,2024,96
34.4772,49.5818,2025,96
34.4871,46.8086,2020,86
34.4871,46.8086,2021,121
34.4871,46.8086,2022,185
34.4871,46.8086,2023,219
34.4871,46.8086,2024,173
34.4871,46.8086,2025,154
34.5499,36.1901,2020,211
34.5499,36.1901,2021,230
34.5499,36.1901,2022,89
34.5499,36.1901,2023,84
34.5499,36.1901,2024,47
34.5499,36.1901,2025,64
34.6674,51.002,2020,16
34.6674,51.002,2021,46
34.6674,51.002,2022,44
34.6674,51.002,2023,35
34.6674,51.002,2024,39
34.6674,51.002,2025,44
34.6687,43.6316,2020,383
34.6687,43.6316,2021,457
34.6687,43.6316,2022,260
34.6687,43.6316,2023,137
34.6687,43.6316,2024,136
34.6687,43.6316,2025,118
34.8698,48.559,2020,16
34.8698,48.559,2021,49
34.8698,48.559,2022,76
34.8698,48.559,2023,71
34.8698,48.559,2024,67
34.8698,48.559,2025,63
34.9536,36.075,2020,2
34.9536,36.075,2021,8
34.9536,36.075,2022,6
34.9536,36.075,2023,9
34.9536,36.075,2024,43
34.9536,36.075,2025,229
35.2318,40.2761,2020,1239
35.2318,40.2761,2021,1323
35.2318,40.2761,2022,1257
35.2318,40.2761,2023,2221
35.2318,40.2761,2024,2511
35.2318,40.2761,2025,1285
35.2858,44.0603,2020,356
35.2858,44.0603,2021,533
35.2858,44.0603,2022,348
35.2858,44.0603,2023,193
35.2858,44.0603,2024,200
35.2858,44.0603,2025,159
35.3165,37.3411,2020,741
35.3165,37.3411,2021,918
35.3165,37.3411,2022,529
35.3165,37.3411,2023,612
35.3165,37.3411,2024,664
35.3165,37.3411,2025,428
35.5022,51.3269,2020,424
35.5022,51.3269,2021,706
35.5022,51.3269,2022,934
35.5022,51.3269,2023,556
35.5022,51.3269,2024,497
35.5022,51.3269,2025,634
35.5263,45.379,2020,195
35.5263,45.379,2021,236
35.5263,45.379,2022,217
35.5263,45.379,2023,252
35.5263,45.379,2024,290
35.5263,45.379,2025,213
35.5854,35.9916,2020,190
35.5854,35.9916,2021,138
35.5854,35.9916,2022,227
35.5854,35.9916,2023,347
35.5854,35.9916,2024,405
35.5854,35.9916,2025,445
35.6014,47.0057,2020,105
35.6014,47.0057,2021,154
35.6014,47.0057,2022,301
35.6014,47.0057,2023,263
35.6014,47.0057,2024,175
35.6014,47.0057,2025,151
35.7792,59.0295,2020,79
35.7792,59.0295,2021,166
35.7792,59.0295,2022,155
35.7792,59.0295,2023,152
35.7792,59.0295,2024,130
35.7792,59.0295,2025,153
35.7868,54.9676,2020,21
35.7868,54.9676,2021,38
35.7868,54.9676,2022,37
35.7868,54.9676,2023,31
35.7868,54.9676,2024,60
35.7868,54.9676,2025,54
35.8547,36.5648,2020,3830
35.8547,36.5648,2021,2183
35.8547,36.5648,2022,2042
35.8547,36.5648,2023,2370
35.8547,36.5648,2024,2697
35.8547,36.5648,2025,231
35.9457,50.906,2020,35
35.9457,50.906,2021,83
35.9457,50.906,2022,108
35.9457,50.906,2023,74
35.9457,50.906,2024,33
35.9457,50.906,2025,50
35.9879,42.3496,2020,265
35.9879,42.3496,2021,403
35.9879,42.3496,2022,390
35.9879,42.3496,2023,283
35.9879,42.3496,2024,537
35.9879,42.3496,2025,258
36.0265,38.922,2020,1123
36.0265,38.922,2021,1221
36.0265,38.922,2022,1357
36.0265,38.922,2023,692
36.0265,38.922,2024,800
36.0265,38.922,2025,573
36.1089,50.0386,2020,44
36.1089,50.0386,2021,70
36.1089,50.0386,2022,88
36.1089,50.0386,2023,104
36.1089,50.0386,2024,76
36.1089,50.0386,2025,58
36.1445,37.3978,2020,2200
36.1445,37.3978,2021,2018
36.1445,37.3978,2022,3641
36.1445,37.3978,2023,2922
36.1445,37.3978,2024,4057
36.1445,37.3978,2025,1398
36.3633,52.3677,2020,37
36.3633,52.3677,2021,93
36.3633,52.3677,2022,133
36.3633,52.3677,2023,125
36.3633,52.3677,2024,101
36.3633,52.3677,2025,84
36.3791,44.2104,2020,421
36.3791,44.2104,2021,357
36.3791,44.2104,2022,516
36.3791,44.2104,2023,792
36.3791,44.2104,2024,1600
36.3791,44.2104,2025,528
36.4014,48.422,2020,21
36.4014,48.422,2021,41
36.4014,48.422,2022,65
36.4014,48.422,2023,55
36.4014,48.422,2024,67
36.4014,48.422,2025,56
36.4111,36.2273,2020,41
36.4111,36.2273,2021,74
36.4111,36.2273,2022,75
36.4111,36.2273,2023,112
36.4111,36.2273,2024,101
36.4111,36.2273,2025,100
36.4131,40.5519,2020,1575
36.4131,40.5519,2021,1537
36.4131,40.5519,2022,2075
36.4131,40.5519,2023,1215
36.4131,40.5519,2024,1190
36.4131,40.5519,2025,754
36.7331,33.7591,2020,85
36.7331,33.7591,2021,139
36.7331,33.7591,2022,167
36.7331,33.7591,2023,120
36.7331,33.7591,2024,168
36.7331,33.7591,2025,158
36.7628,31.9301,2020,53
36.7628,31.9301,2021,108
36.7628,31.9301,2022,107
36.7628,31.9301,2023,98
36.7628,31.9301,2024,100
36.7628,31.9301,2025,84
36.8316,37.0107,2020,5
36.8316,37.0107,2021,5
36.8316,37.0107,2022,11
36.8316,37.0107,2023,14
36.8316,37.0107,2024,7
36.8316,37.0107,2025,3
36.946,28.646,2020,54
36.946,28.646,2021,97
36.946,28.646,2022,220
36.946,28.646,2023,276
36.946,28.646,2024,237
36.946,28.646,2025,115
37.0098,33.1805,2020,11
37.0098,33.1805,2022,2
37.0098,33.1805,2023,8
37.0098,33.1805,2024,4
37.0098,33.1805,2025,4
37.0446,43.1386,2020,979
37.0446,43.1386,2021,1967
37.0446,43.1386,2022,3464
37.0446,43.1386,2023,2724
37.0446,43.1386,2024,4220
37.0446,43.1386,2025,1455
37.1146,37.2439,2020,25
37.1146,37.2439,2021,58
37.1146,37.2439,2022,49
37.1146,37.2439,2023,68
37.1146,37.2439,2024,70
37.1146,37.2439,2025,62
37.2982,54.8804,2020,11
37.2982,54.8804,2021,32
37.2982,54.8804,2022,26
37.2982,54.8804,2023,40
37.2982,54.8804,2024,28
37.2982,54.8804,2025,29
37.3257,40.7757,2020,73
37.3257,40.7757,2021,132
37.3257,40.7757,2022,97
37.3257,40.7757,2023,100
37.3257,40.7757,2024,195
37.3257,40.7757,2025,64
37.326,30.2481,2020,4
37.326,30.2481,2021,4
37.326,30.2481,2022,9
37.326,30.2481,2023,9
37.326,30.2481,2024,10
37.326,30.2481,2025,3
37.3416,36.2986,2020,11
37.3416,36.2986,2021,30
37.3416,36.2986,2022,13
37.3416,36.2986,2023,4
37.3416,36.2986,2024,13
37.3416,36.2986,2025,13
37.3442,38.9233,2020,51
37.3442,38.9233,2021,72
37.3442,38.9233,2022,100
37.3442,38.9233,2023,132
37.3442,38.9233,2024,190
37.3442,38.9233,2025,97
37.3909,43.9965,2020,188
37.3909,43.9965,2021,172
37.3909,43.9965,2022,154
37.3909,43.9965,2023,75
37.3909,43.9965,2024,185
37.3909,43.9965,2025,63
37.4249,57.178,2020,17
37.4249,57.178,2021,34
37.4249,57.178,2022,43
37.4249,57.178,2023,45
37.4249,57.178,2024,28
37.4249,57.178,2025,20
37.4379,42.5882,2020,147
37.4379,42.5882,2021,146
37.4379,42.5882,2022,142
37.4379,42.5882,2023,142
37.4379,42.5882,2024,217
37.4379,42.5882,2025,86
37.4745,35.3726,2020,105
37.4745,35.3726,2021,136
37.4745,35.3726,2022,185
37.4745,35.3726,2023,181
37.4745,35.3726,2024,217
37.4745,35.3726,2025,143
37.5092,49.0189,2020,58
37.5092,49.0189,2021,100
37.5092,49.0189,2022,178
37.5092,49.0189,2023,150
37.5092,49.0189,2024,123
37.5092,49.0189,2025,163
37.6788,29.2458,2020,26
37.6788,29.2458,2021,37
37.6788,29.2458,2022,30
37.6788,29.2458,2023,74
37.6788,29.2458,2024,62
37.6788,29.2458,2025,50
37.7322,28.0578,2020,47
37.7322,28.0578,2021,29
37.7322,28.0578,2022,80
37.7322,28.0578,2023,91
37.7322,28.0578,2024,56
37.7322,28.0578,2025,69
37.815,38.2092,2020,16
37.815,38.2092,2021,26
37.815,38.2092,2022,36
37.815,38.2092,2023,35
37.815,38.2092,2024,44
37.815,38.2092,2025,30
37.8547,34.7331,2020,5
37.8547,34.7331,2021,6
37.8547,34.7331,2022,2
37.8547,34.7331,2023,10
37.8547,34.7331,2024,14
37.8547,34.7331,2025,8
37.8742,44.7003,2020,150
