COUNTRY,YEAR,EVENT_TYPE,EVENTS
Turkey,2022,Strategic developments,1151
Turkey,2022,Violence against civilians,51
Turkey,2023,Battles,93
Turkey,2023,Explosions/Remote violence,53
Turkey,2023,Protests,4632
Turkey,2023,Riots,172
Turkey,2023,Strategic developments,1048
Turkey,2023,Violence against civilians,75
Turkey,2024,Battles,55
Turkey,2024,Explosions/Remote violence,61
Turkey,2024,Protests,5839
Turkey,2024,Riots,121
Turkey,2024,Strategic developments,1106
Turkey,2024,Violence against civilians,53
Turkey,2025,Battles,3
Turkey,2025,Explosions/Remote violence,5
Turkey,2025,Protests,4484
Turkey,2025,Riots,35
Turkey,2025,Strategic developments,228
Turkey,2025,Violence against civilians,20
United Arab Emirates,2020,Strategic developments,3
United Arab Emirates,2020,Violence against civilians,1
United Arab Emirates,2021,Explosions/Remote violence,1
United Arab Emirates,2021,Strategic developments,1
United Arab Emirates,2021,Violence against civilians,2
United Arab Emirates,2022,Explosions/Remote violence,7
United Arab Emirates,2022,Protests,6
United Arab Emirates,2022,Riots,1
United Arab Emirates,2022,Strategic developments,11
United Arab Emirates,2023,Protests,1
United Arab Emirates,2023,Strategic developments,3
United Arab Emirates,2024,Protests,1
United Arab Emirates,2024,Violence against civilians,1
United Arab Emirates,2025,Riots,1
United Arab Emirates,2025,Strategic developments,1
United Arab Emirates,2025,Violence against civilians,1
Yemen,2020,Battles,3945
Yemen,2020,Explosions/Remote violence,5275
Yemen,2020,Protests,645
Yemen,2020,Riots,62
Yemen,2020,Strategic developments,1195
Yemen,2020,Violence against civilians,704
Yemen,2021,Battles,2793
Yemen,2021,Explosions/Remote violence,4052
Yemen,2021,Protests,747
Yemen,2021,Riots,93
Yemen,2021,Strategic developments,656
Yemen,2021,Violence against civilians,490
Yemen,2022,Battles,1421
Yemen,2022,Explosions/Remote violence,4558
Yemen,2022,Protests,472
Yemen,2022,Riots,47
Yemen,2022,Strategic developments,902
Yemen,2022,Violence against civilians,518
Yemen,2023,Battles,976
Yemen,2023,Explosions/Remote violence,1380
Yemen,2023,Protests,2326
Yemen,2023,Riots,64
Yemen,2023,Strategic developments,682
Yemen,2023,Violence against civilians,664
Yemen,2024,Battles,2142
Yemen,2024,Explosions/Remote violence,961
Yemen,2024,Protests,8292
Yemen,2024,Riots,49
Yemen,2024,Strategic developments,756
Yemen,2024,Violence against civilians,750
Yemen,2025,Battles,1585
Yemen,2025,Explosions/Remote violence,925
Yemen,2025,Protests,7053
Yemen,2025,Riots,163
Yemen,2025,Strategic developments,676
Yemen,2025,Violence against civilians,689
