WEEK,COUNTRY,EVENTS
2023-11-18,Bahrain,5
2023-11-25,Bahrain,3
2023-12-02,Bahrain,2
2023-12-09,Bahrain,3
2023-12-16,Bahrain,4
2023-12-23,Bahrain,2
2023-12-30,Bahrain,3
2024-01-06,Bahrain,3
2024-01-13,Bahrain,3
2024-01-20,Bahrain,2
2024-01-27,Bahrain,3
2024-02-03,Bahrain,5
2024-02-10,Bahrain,9
2024-02-17,Bahrain,2
2024-02-24,Bahrain,2
2024-03-02,Bahrain,2
2024-03-09,Bahrain,1
2024-03-16,Bahrain,2
2024-03-23,Bahrain,7
2024-03-30,Bahrain,8
2024-04-06,Bahrain,9
2024-04-13,Bahrain,7
2024-04-20,Bahrain,8
2024-04-27,Bahrain,10
2024-05-04,Bahrain,6
2024-05-11,Bahrain,5
2024-05-18,Bahrain,5
2024-05-25,Bahrain,2
2024-06-01,Bahrain,5
2024-06-08,Bahrain,3
2024-06-15,Bahrain,3
2024-06-22,Bahrain,3
2024-06-29,Bahrain,3
2024-07-06,Bahrain,1
2024-07-13,Bahrain,12
2024-07-20,Bahrain,11
2024-07-27,Bahrain,4
2024-08-03,Bahrain,3
2024-08-10,Bahrain,3
2024-08-17,Bahrain,2
2024-08-24,Bahrain,2
2024-08-31,Bahrain,3
2024-09-07,Bahrain,4
2024-09-14,Bahrain,1
2024-09-21,Bahrain,6
2024-09-28,Bahrain,28
2024-10-05,Bahrain,5
2024-10-12,Bahrain,14
2024-10-19,Bahrain,8
2024-10-26,Bahrain,5
2024-11-02,Bahrain,4
2024-11-09,Bahrain,5
2024-11-16,Bahrain,3
2024-11-23,Bahrain,6
2024-11-30,Bahrain,4
2024-12-07,Bahrain,13
2024-12-14,Bahrain,12
2024-12-21,Bahrain,3
2024-12-28,Bahrain,1
2025-01-04,Bahrain,2
2025-01-11,Bahrain,3
2025-01-18,Bahrain,3
2025-01-25,Bahrain,1
2025-02-01,Bahrain,1
2025-02-08,Bahrain,5
2025-02-15,Bahrain,3
2025-02-22,Bahrain,16
2025-03-01,Bahrain,2
2025-03-08,Bahrain,1
2025-03-15,Bahrain,1
2025-03-22,Bahrain,13
2025-03-29,Bahrain,4
2025-04-05,Bahrain,7
2025-04-12,Bahrain,1
2025-04-19,Bahrain,4
2025-04-26,Bahrain,1
2025-05-03,Bahrain,2
2025-05-10,Bahrain,5
2025-05-17,Bahrain,4
2025-05-24,Bahrain,3
2025-05-31,Bahrain,1
2025-06-07,Bahrain,3
2025-06-14,Bahrain,2
2025-06-21,Bahrain,4
2025-06-28,Bahrain,1
2025-07-05,Bahrain,2
2025-07-12,Bahrain,1
2025-07-19,Bahrain,9
2025-07-26,Bahrain,9
2025-08-02,Bahrain,1
2025-08-23,Bahrain,1
2025-08-30,Bahrain,7
2025-09-06,Bahrain,2
2025-09-13,Bahrain,2
2025-09-20,Bahrain,11
2025-09-27,Bahrain,3
2025-10-04,Bahrain,5
2025-10-11,Bahrain,12
2025-10-18,Bahrain,10
2020-10-17,Bahrain,1
2020-11-21,Bahrain,1
2023-11-11,Bahrain,2
2024-03-30,Bahrain,1
2024-06-08,Bahrain,1
2024-09-28,Bahrain,3
2024-10-05,Bahrain,1
2024-10-12,Bahrain,1
2025-02-01,Bahrain,1
2025-02-22,Bahrain,1
2025-03-22,Bahrain,1
2025-09-20,Bahrain,2
2025-10-11,Bahrain,1
2024-12-28,Bahrain,2
2025-01-18,Bahrain,1
2020-01-18,Bahrain,4
2020-01-25,Bahrain,2
2020-02-01,Bahrain,2
2020-02-08,Bahrain,6
2020-02-15,Bahrain,2
2020-02-29,Bahrain,3
2020-03-14,Bahrain,1
2020-03-28,Bahrain,1
2020-05-02,Bahrain,3
2020-06-13,Bahrain,2
2020-07-11,Bahrain,2
2020-07-18,Bahrain,1
2020-09-12,Bahrain,3
2020-09-19,Bahrain,3
2020-10-03,Bahrain,4
2020-10-10,Bahrain,2
2020-10-17,Bahrain,2
2020-10-31,Bahrain,2
2020-11-07,Bahrain,1
2020-11-14,Bahrain,1
2020-12-12,Bahrain,1
2020-12-19,Bahrain,1
2020-12-26,Bahrain,4
2021-01-02,Bahrain,3
2021-01-09,Bahrain,4
2021-01-16,Bahrain,1
2021-02-13,Bahrain,8
2021-03-06,Bahrain,2
2021-03-20,Bahrain,2
2021-03-27,Bahrain,4
2021-06-05,Bahrain,1
2021-06-12,Bahrain,1
2021-06-19,Bahrain,1
2021-07-10,Bahrain,2
2021-07-24,Bahrain,1
2021-07-31,Bahrain,2
2021-09-18,Bahrain,1
2021-10-30,Bahrain,1
